epiweek,wili,ili,date
202225,2.18801,2.18801,2022-06-26
202226,2.3278,2.3278,2022-07-03
202227,2.50887,2.50887,2022-07-10
202228,2.44742,2.44742,2022-07-17
202229,2.54559,2.54559,2022-07-24
202230,2.5069,2.5069,2022-07-31
202231,2.4114,2.4114,2022-08-07
202232,3.00858,3.00858,2022-08-14
202233,3.88255,3.88255,2022-08-21
202234,3.78983,3.78983,2022-08-28
202235,3.58842,3.58842,2022-09-04
202236,3.58241,3.58241,2022-09-11
202237,3.43385,3.43385,2022-09-18
202238,4.26176,4.26176,2022-09-25
202239,4.87823,4.87823,2022-10-02
202240,5.43332,5.43332,2022-10-09
202241,5.89703,5.89703,2022-10-16
202242,5.93913,5.93913,2022-10-23
202243,8.56539,8.56539,2022-10-30
202244,9.15391,9.15391,2022-11-06
202245,7.85764,7.85764,2022-11-13
202246,6.38082,6.38082,2022-11-20
202247,6.80558,6.80558,2022-11-27
202248,6.03757,6.03757,2022-12-04
202249,5.31983,5.31983,2022-12-11
202250,4.72517,4.72517,2022-12-18
202251,4.56847,4.56847,2022-12-25
202252,4.64459,4.64459,2023-01-01
202301,3.67748,3.67748,2023-01-08
202302,2.90179,2.90179,2023-01-15
202303,2.67728,2.67728,2023-01-22
202304,2.8563,2.8563,2023-01-29
202305,2.93055,2.93055,2023-02-05
202306,3.07156,3.07156,2023-02-12
202307,2.89633,2.89633,2023-02-19
202308,2.67997,2.67997,2023-02-26
202309,2.3372,2.3372,2023-03-05
202310,2.32315,2.32315,2023-03-12
202311,2.51165,2.51165,2023-03-19
202312,2.64771,2.64771,2023-03-26
202313,2.4335,2.4335,2023-04-02
202314,2.27603,2.27603,2023-04-09
202315,2.16881,2.16881,2023-04-16
202316,1.99958,1.99958,2023-04-23
202317,2.03599,2.03599,2023-04-30
202318,2.06906,2.06906,2023-05-07
202319,2.34443,2.34443,2023-05-14
202320,2.27985,2.27985,2023-05-21
202321,2.1819,2.1819,2023-05-28
202322,2.31611,2.31611,2023-06-04
202323,1.8236,1.8236,2023-06-11
202324,1.57801,1.57801,2023-06-18
202325,1.44232,1.44232,2023-06-25
202326,1.28979,1.28979,2023-07-02
202327,1.26187,1.26187,2023-07-09
202328,1.33285,1.33285,2023-07-16
202329,1.36278,1.36278,2023-07-23
202330,1.53601,1.53601,2023-07-30
202331,1.57495,1.57495,2023-08-06
202332,2.2265,2.2265,2023-08-13
202333,3.2722,3.2722,2023-08-20
202334,3.6187,3.6187,2023-08-27
202335,3.38854,3.38854,2023-09-03
202336,2.98887,2.98887,2023-09-10
202337,3.06421,3.06421,2023-09-17
202338,3.3028,3.3028,2023-09-24
202339,3.55848,3.55848,2023-10-01
202340,3.38029,3.38029,2023-10-08
202341,3.67356,3.67356,2023-10-15
202342,3.70285,3.70285,2023-10-22
202343,3.98794,3.98794,2023-10-29
202344,4.31912,4.31912,2023-11-05
202345,5.27009,5.27009,2023-11-12
202346,5.37248,5.37248,2023-11-19
202347,5.37711,5.37711,2023-11-26
