date,dengue_en
2016-01-01,238454
2016-02-01,219149
2016-03-01,144320
2016-04-01,120763
2016-05-01,120187
2016-06-01,138715
2016-07-01,167351
2016-08-01,232735
2016-09-01,292823
2016-10-01,219234
2016-11-01,164436
2016-12-01,111862
2017-01-01,113870
2017-02-01,96095
2017-03-01,108386
2017-04-01,99846
2017-05-01,127286
2017-06-01,150379
2017-07-01,209633
2017-08-01,214002
2017-09-01,201421
2017-10-01,288486
2017-11-01,207560
2017-12-01,122882
2018-01-01,126948
2018-02-01,108219
2018-03-01,103467
2018-04-01,96664
2018-05-01,105451
2018-06-01,114762
2018-07-01,145059
2018-08-01,164488
2018-09-01,161702
2018-10-01,203159
2018-11-01,144038
2018-12-01,98593
2019-01-01,112515
2019-02-01,84859
2019-03-01,91605
2019-04-01,89393
2019-05-01,95500
2019-06-01,109814
2019-07-01,182812
2019-08-01,229803
2019-09-01,248995
2019-10-01,246057
2019-11-01,198141
2019-12-01,115197
2020-01-01,116504
2020-02-01,127528
2020-03-01,201207
2020-04-01,121583
2020-05-01,97028
2020-06-01,81888
2020-07-01,97035
2020-08-01,79021
2020-09-01,73594
2020-10-01,82998
2020-11-01,74855
2020-12-01,59919
2021-01-01,60904
2021-02-01,58222
2021-03-01,58709
2021-04-01,54878
2021-05-01,56155
2021-06-01,65781
2021-07-01,60675
2021-08-01,72591
2021-09-01,87424
2021-10-01,105475
2021-11-01,87316
2021-12-01,61867
2022-01-01,56596
2022-02-01,45978
2022-03-01,48818
2022-04-01,47875
2022-05-01,55160
2022-06-01,60129
2022-07-01,71288
2022-08-01,80482
2022-09-01,107531
2022-10-01,102175
2022-11-01,89766
2022-12-01,53967
2023-01-01,48140
2023-02-01,49253
2023-03-01,55679
2023-04-01,52318
2023-05-01,54398
2023-06-01,70048
2023-07-01,94414
2023-08-01,127859
2023-09-01,145559
2023-10-01,166350
2023-11-01,101116
2023-12-01,81645
2024-01-01,77534
2024-02-01,91781
2024-03-01,121920
2024-04-01,107374
2024-05-01,91715
2024-06-01,125571
2024-07-01,168659
2024-08-01,100757
2024-09-01,89569
2024-10-01,84907
2024-11-01,71938
2024-12-01,55205
2025-01-01,51549
2025-02-01,48276
2025-03-01,59444
2025-04-01,54134
2025-05-01,58498
2025-06-01,60849
2025-07-01,56598
2025-08-01,74438
2025-09-01,65370
2025-10-01,61894
2025-11-01,50965
2025-12-01,43720
2026-01-01,42706
2026-02-01,36736
2026-03-01,32043
2026-04-01,27389
2026-05-01,35417
2026-06-01,32471
2026-07-01,1142
