week,count
2023-01-01,2
2023-01-08,0
2023-01-15,0
2023-01-22,2
2023-01-29,0
2023-02-05,0
2023-02-12,1
2023-02-19,0
2023-02-26,1
2023-03-05,1
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,5
2023-04-09,2
2023-04-16,6
2023-04-23,12
2023-04-30,14
2023-05-07,5
2023-05-14,11
2023-05-21,24
2023-05-28,9
2023-06-04,8
2023-06-11,32
2023-06-18,5
2023-06-25,22
2023-07-02,31
2023-07-09,15
2023-07-16,18
2023-07-23,22
2023-07-30,28
2023-08-06,17
2023-08-13,32
2023-08-20,48
2023-08-27,71
2023-09-03,58
2023-09-10,84
2023-09-17,56
2023-09-24,90
2023-10-01,99
2023-10-08,50
2023-10-15,96
2023-10-22,93
2023-10-29,96
2023-11-05,93
2023-11-12,53
2023-11-19,45
2023-11-26,68
2023-12-03,60
2023-12-10,80
2023-12-17,58
2023-12-24,57
2023-12-31,58
2024-01-07,74
2024-01-14,73
2024-01-21,129
2024-01-28,194
2024-02-04,313
2024-02-11,316
2024-02-18,369
2024-02-25,374
2024-03-03,350
2024-03-10,272
2024-03-17,236
2024-03-24,326
2024-03-31,254
2024-04-07,570
2024-04-14,516
2024-04-21,447
2024-04-28,331
2024-05-05,223
2024-05-12,202
2024-05-19,158
2024-05-26,164
2024-06-02,164
2024-06-09,270
2024-06-16,164
2024-06-23,205
2024-06-30,168
2024-07-07,143
2024-07-14,98
2024-07-21,114
2024-07-28,95
2024-08-04,87
2024-08-11,68
2024-08-18,83
2024-08-25,241
2024-09-01,1728
2024-09-08,1440
2024-09-15,1318
2024-09-22,1084
2024-09-29,1229
2024-10-06,596
2024-10-13,545
2024-10-20,413
2024-10-27,364
2024-11-03,428
2024-11-10,450
2024-11-17,860
2024-11-24,687
2024-12-01,549
2024-12-08,746
2024-12-15,648
2024-12-22,332
2024-12-29,456
2025-01-05,700
2025-01-12,666
2025-01-19,734
2025-01-26,710
2025-02-02,647
2025-02-09,902
2025-02-16,1176
2025-02-23,1003
2025-03-02,461
2025-03-09,638
2025-03-16,568
2025-03-23,602
2025-03-30,635
2025-04-06,592
2025-04-13,565
2025-04-20,478
2025-04-27,533
2025-05-04,465
2025-05-11,518
2025-05-18,461
2025-05-25,426
2025-06-01,359
2025-06-08,334
2025-06-15,307
2025-06-22,351
2025-06-29,536
2025-07-06,433
2025-07-13,326
2025-07-20,347
2025-07-27,335
2025-08-03,383
2025-08-10,457
2025-08-17,496
2025-08-24,383
2025-08-31,369
2025-09-07,375
2025-09-14,389
2025-09-21,388
2025-09-28,371
2025-10-05,382
2025-10-12,378
2025-10-19,363
2025-10-26,389
2025-11-02,442
2025-11-09,436
2025-11-16,365
2025-11-23,700
2025-11-30,429
2025-12-07,404
2025-12-14,399
2025-12-21,248
2025-12-28,231
2026-01-04,359
2026-01-11,456
2026-01-18,476
2026-01-25,306
2026-02-01,294
2026-02-08,554
2026-02-15,305
2026-02-22,398
2026-03-01,353
2026-03-08,324
2026-03-15,757
2026-03-22,464
2026-03-29,291
2026-04-05,243
2026-04-12,352
2026-04-19,312
2026-04-26,273
2026-05-03,303
2026-05-10,274
2026-05-17,269
2026-05-24,329
2026-05-31,330
2026-06-07,781
2026-06-14,459
2026-06-21,310
2026-06-28,251
2026-07-05,304
2026-07-12,285
2026-07-19,177
