date,count,total_count,ratio
2016-01-03,31,27535,0.0011258398402033776
2016-01-10,33,125618,0.0002627012052412871
2016-01-17,224,127997,0.0017500410165863262
2016-01-24,276,122007,0.0022621652855983674
2016-01-31,804,128906,0.006237103005290677
2016-02-07,728,134507,0.005412357721159494
2016-02-14,504,130145,0.003872603634407776
2016-02-21,314,123778,0.002536799754399005
2016-02-28,287,130869,0.0021930327273838725
2016-03-06,187,135882,0.001376194050720478
2016-03-13,208,131892,0.0015770478876656658
2016-03-20,169,131022,0.0012898597182152615
2016-03-27,118,120840,0.0009764978483945713
2016-04-03,111,125265,0.0008861214225841217
2016-04-10,94,130840,0.000718434729440538
2016-04-17,125,130743,0.0009560741301637564
2016-04-24,73,105910,0.000689264469832877
2016-05-01,87,105909,0.0008214599325836331
2016-05-08,99,122169,0.0008103528718414655
2016-05-15,56,142468,0.00039307072465395737
2016-05-22,127,114910,0.001105212775215386
2016-05-29,137,113914,0.0012026616570395211
2016-06-05,73,108371,0.0006736119441548016
2016-06-12,97,117178,0.0008278004403556981
2016-06-19,73,118024,0.0006185182674710228
2016-06-26,84,114039,0.0007365901139083997
2016-07-03,96,108397,0.0008856333662370729
2016-07-10,71,106081,0.000669299874624108
2016-07-17,58,117013,0.0004956714211241486
2016-07-24,63,121396,0.0005189627335332301
2016-07-31,165,121264,0.00136066763425254
2016-08-07,187,117991,0.0015848666423710282
2016-08-14,45,117652,0.00038248393567470165
2016-08-21,101,116329,0.0008682271832475135
2016-08-28,88,118849,0.0007404353423251353
2016-09-04,133,119540,0.0011125982934582566
2016-09-11,74,115549,0.0006404209469575678
2016-09-18,55,126916,0.0004333574962967632
2016-09-25,39,125357,0.00031111146565409193
2016-10-02,75,127664,0.0005874796340393533
2016-10-09,46,124895,0.00036830937987909843
2016-10-16,34,88056,0.00038611792495684566
2016-10-23,28,89441,0.00031305553381558794
2016-10-30,37,88250,0.00041926345609065153
2016-11-06,29,93424,0.0003104127419078609
2016-11-13,31,93461,0.00033168915376467187
2016-11-20,31,86759,0.0003573116333752118
2016-11-27,33,79149,0.0004169351476329455
2016-12-04,29,81387,0.00035632226276923834
2016-12-11,15,85201,0.00017605427166347812
2016-12-18,26,85416,0.00030439261964971436
2016-12-25,14,79736,0.00017557941205979734
2017-01-01,18,73582,0.00024462504416841073
2017-01-08,34,119484,0.0002845569281242677
2017-01-15,26,137742,0.00018875869378983897
2017-01-22,24,137654,0.00017435018234123237
2017-01-29,15,143180,0.00010476323508869954
2017-02-05,17,141308,0.00012030458289693435
2017-02-12,25,133041,0.00018791199705353988
2017-02-19,35,136026,0.00025730375075353243
2017-02-26,41,127401,0.00032181851005879075
2017-03-05,18,136443,0.00013192322068556102
2017-03-12,31,134252,0.00023090903673688289
2017-03-19,27,132832,0.00020326427366899544
2017-03-26,32,130396,0.0002454063008067732
2017-04-02,34,133434,0.0002548076202467137
2017-04-09,47,132622,0.00035439067424710834
2017-04-16,35,122818,0.0002849745151362178
2017-04-23,56,127460,0.00043935352267378004
2017-04-30,28,135382,0.0002068221772466059
2017-05-07,8,130159,6.146328721025823e-05
2017-05-14,32,132917,0.00024075174733104117
2017-05-21,20,134704,0.00014847369046205012
2017-05-28,22,129060,0.00017046335037966838
2017-06-04,34,117903,0.0002883726453101278
2017-06-11,20,130215,0.00015359213608263258
2017-06-18,8,126841,6.307108900119047e-05
2017-06-25,37,127505,0.0002901846986392691
2017-07-02,36,125835,0.0002860889259744904
2017-07-09,28,107823,0.0002596848538808974
2017-07-16,45,127104,0.0003540407854984894
2017-07-23,61,127048,0.0004801334928530949
2017-07-30,26,130911,0.0001986082147413128
2017-08-06,11,128727,8.545215844383852e-05
2017-08-13,16,122166,0.00013096933680402075
2017-08-20,26,122727,0.00021185232263479104
2017-08-27,15,109952,0.0001364231664726426
2017-09-03,37,75998,0.0004868549172346641
2017-09-10,21,78720,0.00026676829268292685
2017-09-17,15,78697,0.000190604470310177
2017-09-24,30,116279,0.00025800015480009287
